date,total_cases,total_deaths,total_vaccinations
1/1/2020,0,0,NULL
1/2/2020,0,0,NULL
1/3/2020,0,0,NULL
1/4/2020,0,0,NULL
1/5/2020,0,0,NULL
1/6/2020,0,0,NULL
1/7/2020,0,0,NULL
1/8/2020,0,0,NULL
1/9/2020,0,0,NULL
1/10/2020,0,0,NULL
1/11/2020,0,0,NULL
1/12/2020,0,0,NULL
1/13/2020,0,0,NULL
1/14/2020,0,0,NULL
1/15/2020,0,0,NULL
1/16/2020,0,0,NULL
1/17/2020,0,0,NULL
1/18/2020,0,0,NULL
1/19/2020,0,0,NULL
1/20/2020,0,0,NULL
1/21/2020,0,0,NULL
1/22/2020,0,0,NULL
1/23/2020,100,1,NULL
1/24/2020,287,8,NULL
1/25/2020,493,16,NULL
1/26/2020,683,14,NULL
1/27/2020,809,26,NULL
1/28/2020,2651,49,NULL
1/29/2020,589,2,NULL
1/30/2020,2068,39,NULL
1/31/2020,1690,42,NULL
2/1/2020,2111,46,NULL
2/2/2020,4749,104,NULL
2/3/2020,3100,64,NULL
2/4/2020,4012,66,NULL
2/5/2020,3745,72,NULL
2/6/2020,3162,70,NULL
2/7/2020,3533,85,NULL
2/8/2020,2731,87,NULL
2/9/2020,3028,100,NULL
2/10/2020,2538,107,NULL
2/11/2020,2043,100,NULL
2/12/2020,378,5,NULL
2/13/2020,15152,253,NULL
2/14/2020,6485,152,NULL
2/15/2020,2076,143,NULL
2/16/2020,2113,104,NULL
2/17/2020,1936,98,NULL
2/18/2020,1794,140,NULL
2/19/2020,421,115,NULL
2/20/2020,548,123,NULL
2/21/2020,630,4,NULL
2/22/2020,1762,208,NULL
2/23/2020,325,10,NULL
2/24/2020,568,160,NULL
2/25/2020,854,80,NULL
2/26/2020,959,60,NULL
2/27/2020,1344,43,NULL
2/28/2020,1424,57,NULL
2/29/2020,1871,70,NULL
3/1/2020,2379,54,NULL
3/2/2020,1980,90,NULL
3/3/2020,2611,74,NULL
3/4/2020,2322,96,NULL
3/5/2020,2711,95,NULL
3/6/2020,3930,114,NULL
3/7/2020,4131,104,NULL
3/8/2020,3854,242,NULL
3/9/2020,4323,194,NULL
3/10/2020,4786,275,NULL
3/11/2020,7504,351,NULL
3/12/2020,6756,321,NULL
3/13/2020,13194,503,NULL
3/14/2020,10888,426,NULL
3/15/2020,11233,666,NULL
3/16/2020,14567,715,NULL
3/17/2020,15174,851,NULL
3/18/2020,17554,954,NULL
3/19/2020,27087,1144,NULL
3/20/2020,29532,1575,NULL
3/21/2020,32433,1808,NULL
3/22/2020,34178,1830,NULL
3/23/2020,42551,2096,NULL
3/24/2020,41888,2424,NULL
3/25/2020,51480,2971,NULL
3/26/2020,60810,3256,NULL
3/27/2020,63913,3638,NULL
3/28/2020,69562,4049,NULL
3/29/2020,56503,3819,NULL
3/30/2020,65003,4368,NULL
3/31/2020,78439,5168,NULL
4/1/2020,86317,6641,NULL
4/2/2020,82414,6242,NULL
4/3/2020,84194,6500,NULL
4/4/2020,77156,6591,NULL
4/5/2020,71696,5920,NULL
4/6/2020,74670,6427,NULL
4/7/2020,72426,8516,NULL
4/8/2020,82153,7219,NULL
4/9/2020,87161,8153,NULL
4/10/2020,86421,7740,NULL
4/11/2020,75484,6982,NULL
4/12/2020,118581,6514,NULL
4/13/2020,71824,6512,NULL
4/14/2020,84603,7357,NULL
4/15/2020,78259,8765,NULL
4/16/2020,94454,7708,NULL
4/17/2020,87863,7591,NULL
4/18/2020,78220,6428,NULL
4/19/2020,76315,6099,NULL
4/20/2020,76481,6511,NULL
4/21/2020,76077,7197,NULL
4/22/2020,82014,7275,NULL
4/23/2020,84390,7272,NULL
4/24/2020,93602,6835,NULL
4/25/2020,83149,6048,NULL
4/26/2020,70762,4818,NULL
4/27/2020,71026,5445,NULL
4/28/2020,75753,6627,NULL
4/29/2020,78771,6980,NULL
4/30/2020,83699,6254,NULL
5/1/2020,88964,5594,NULL
5/2/2020,78390,6013,NULL
5/3/2020,74022,4277,NULL
5/4/2020,77611,4843,NULL
5/5/2020,79655,6147,NULL
5/6/2020,90438,6763,NULL
5/7/2020,90136,5869,NULL
5/8/2020,91893,5953,NULL
5/9/2020,84241,4917,NULL
5/10/2020,75213,4338,NULL
5/11/2020,76234,4079,NULL
5/12/2020,85403,5738,NULL
5/13/2020,84416,5437,NULL
5/14/2020,95643,5751,NULL
5/15/2020,96330,5756,NULL
5/16/2020,93907,4541,NULL
5/17/2020,78347,3878,NULL
5/18/2020,89139,4396,NULL
5/19/2020,95813,5186,NULL
5/20/2020,105421,5406,NULL
5/21/2020,106058,5035,NULL
5/22/2020,107248,5705,NULL
5/23/2020,104107,4453,NULL
5/24/2020,93646,3483,NULL
5/25/2020,88583,3614,NULL
5/26/2020,92358,4779,NULL
5/27/2020,102551,5220,NULL
5/28/2020,119993,4992,NULL
5/29/2020,121475,5156,NULL
5/30/2020,135040,4361,NULL
5/31/2020,102859,3289,NULL
6/1/2020,100280,3744,NULL
6/2/2020,123392,5264,NULL
6/3/2020,114479,5620,NULL
6/4/2020,138326,5527,NULL
6/5/2020,133562,5057,NULL
6/6/2020,129331,4140,NULL
6/7/2020,111011,3257,NULL
6/8/2020,103051,4455,NULL
6/9/2020,125995,5045,NULL
6/10/2020,137190,5428,NULL
6/11/2020,136192,5142,NULL
6/12/2020,127473,4744,NULL
6/13/2020,133901,4393,NULL
6/14/2020,131945,3781,NULL
6/15/2020,124922,4067,NULL
6/16/2020,143910,7119,NULL
6/17/2020,143202,5477,NULL
6/18/2020,143096,5355,NULL
6/19/2020,181132,5182,NULL
6/20/2020,185879,4482,NULL
6/21/2020,112857,4644,NULL
6/22/2020,142336,3867,NULL
6/23/2020,168184,5568,NULL
6/24/2020,171466,5529,NULL
6/25/2020,179510,5110,NULL
6/26/2020,192473,5083,NULL
6/27/2020,176397,4736,NULL
6/28/2020,168862,3619,NULL
6/29/2020,152714,4074,NULL
6/30/2020,183754,5250,NULL
7/1/2020,215131,5341,NULL
7/2/2020,204961,5507,NULL
7/3/2020,202626,5243,NULL
7/4/2020,189705,4795,NULL
